legacy_url,legacy_path,numeric_class,proposed_base_path,base_family_indexed_count,migration_action,target_slug,redirect_required,evidence_status,publication_status,notes
"https://www.mcpserver.in/glossary/mcp-alert-manager-68","/glossary/mcp-alert-manager-68","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-alert-manager",1,"REDIRECT_TO_BASE","mcp-alert-manager","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-analytics-platform-11","/glossary/mcp-analytics-platform-11","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-analytics-platform",1,"REDIRECT_TO_BASE","mcp-analytics-platform","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-api-client-78","/glossary/mcp-api-client-78","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-api-client",1,"REDIRECT_TO_BASE","mcp-api-client","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-api-gateway-14","/glossary/mcp-api-gateway-14","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-api-gateway",2,"REDIRECT_TO_BASE","mcp-api-gateway","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-api-gateway-140","/glossary/mcp-api-gateway-140","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-api-gateway",2,"REDIRECT_TO_BASE","mcp-api-gateway","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-async-validator-124","/glossary/mcp-async-validator-124","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-async-validator",1,"REDIRECT_TO_BASE","mcp-async-validator","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-audit-logger-103","/glossary/mcp-audit-logger-103","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-audit-logger",1,"REDIRECT_TO_BASE","mcp-audit-logger","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-auth-provider-18","/glossary/mcp-auth-provider-18","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-auth-provider",1,"REDIRECT_TO_BASE","mcp-auth-provider","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-auto-scaling-0","/glossary/mcp-auto-scaling-0","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-auto-scaling",1,"REDIRECT_TO_BASE","mcp-auto-scaling","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-batch-processing-34","/glossary/mcp-batch-processing-34","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-batch-processing",1,"REDIRECT_TO_BASE","mcp-batch-processing","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-block-storage-22","/glossary/mcp-block-storage-22","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-block-storage",1,"REDIRECT_TO_BASE","mcp-block-storage","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-cache-layer-135","/glossary/mcp-cache-layer-135","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-cache-layer",2,"REDIRECT_TO_BASE","mcp-cache-layer","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-cache-layer-9","/glossary/mcp-cache-layer-9","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-cache-layer",2,"REDIRECT_TO_BASE","mcp-cache-layer","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-callback-handler-74","/glossary/mcp-callback-handler-74","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-callback-handler",1,"REDIRECT_TO_BASE","mcp-callback-handler","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-canary-deploy-40","/glossary/mcp-canary-deploy-40","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-canary-deploy",1,"REDIRECT_TO_BASE","mcp-canary-deploy","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-cdn-service-4","/glossary/mcp-cdn-service-4","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-cdn-service",1,"REDIRECT_TO_BASE","mcp-cdn-service","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
"https://www.mcpserver.in/glossary/mcp-certificate-manager-48","/glossary/mcp-certificate-manager-48","GENERATED_NUMERIC_SUFFIX","/glossary/mcp-certificate-manager",1,"REDIRECT_TO_BASE","mcp-certificate-manager","True","UNRESOLVED","PENDING","Legacy generated numeric suffix; requires semantic successor decision."
