normalized_url,normalized_path,clicks,impressions,position,ctr
https://www.mcpserver.in/blog/screener-mcp-india,/blog/screener-mcp-india,2,16,7.25,0.125
https://www.mcpserver.in/blog/moneycontrol-mcp-india,/blog/moneycontrol-mcp-india,2,9,4.78,0.2222222222222222
https://www.mcpserver.in/blog/hdfc-bank-mcp-india,/blog/hdfc-bank-mcp-india,2,5,2.602,0.4
https://www.mcpserver.in/blog/irctc-mcp-india,/blog/irctc-mcp-india,1,7,3.4285714285714284,0.14285714285714285
https://www.mcpserver.in/blog/phonepe-mcp-server-india,/blog/phonepe-mcp-server-india,1,5,4.802,0.2
https://www.mcpserver.in/blog/uber-india-mcp,/blog/uber-india-mcp,1,5,5.4,0.2
https://www.mcpserver.in/blog/flipkart-mcp-india,/blog/flipkart-mcp-india,1,4,4.5,0.25
https://www.mcpserver.in/blog/mcp-server-for-onedrive,/blog/mcp-server-for-onedrive,1,4,8.25,0.25
https://www.mcpserver.in/blog/jio-mcp-india,/blog/jio-mcp-india,1,3,3.33,0.3333333333333333
https://www.mcpserver.in/blog/mcp-server-code-snippets-community-library,/blog/mcp-server-code-snippets-community-library,1,1,8.0,1.0
https://www.mcpserver.in/troubleshooting/claude-desktop-mcp-not-working,/troubleshooting/claude-desktop-mcp-not-working,0,56,25.2,0.0
https://www.mcpserver.in/blog/dhan-mcp-fo-trading,/blog/dhan-mcp-fo-trading,0,48,9.183958333333335,0.0
https://www.mcpserver.in/blog/zerodha-mcp-server-trading-ai,/blog/zerodha-mcp-server-trading-ai,0,48,9.773124999999999,0.0
https://www.mcpserver.in/blog/upstox-mcp-trading,/blog/upstox-mcp-trading,0,18,7.891111111111111,0.0
https://www.mcpserver.in/blog/zomato-mcp-india,/blog/zomato-mcp-india,0,15,7.33,0.0
https://www.mcpserver.in/glossary/agent,/glossary/agent,0,12,50.330000000000005,0.0
https://www.mcpserver.in/best/mcp-servers,/best/mcp-servers,0,11,49.91,0.0
https://www.mcpserver.in/blog/groww-mcp-investments,/blog/groww-mcp-investments,0,11,8.82090909090909,0.0
https://www.mcpserver.in/sdk/typescript,/sdk/typescript,0,11,34.09,0.0
https://www.mcpserver.in/blog/blinkit-mcp-india,/blog/blinkit-mcp-india,0,10,2.9,0.0
https://www.mcpserver.in/learn/indic-nlp-guide,/learn/indic-nlp-guide,0,10,27.9,0.0
https://www.mcpserver.in/blog/amazon-india-mcp,/blog/amazon-india-mcp,0,9,14.553333333333333,0.0
