legacy_url,legacy_status,primary_intent,existing_candidates,decision,final_canonical,evidence_status,editorial_status,redirect_status
"https://www.mcpserver.in/categories/developer-tools/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/databases/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/databases/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/vector-databases/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/vector-databases/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/communication/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/communication/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/productivity/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/productivity/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/project-management/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/project-management/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/cloud/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/cloud/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/deployment/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/deployment/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/security/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/security/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/identity/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/identity/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/observability/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/observability/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/analytics/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/analytics/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/finance/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/finance/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/payments/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/payments/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/ecommerce/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/ecommerce/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/crm/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/crm/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/support/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/support/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/erp/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/erp/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/marketing/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/marketing/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/storage/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/storage/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/file-systems/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/file-systems/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/browser-automation/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/browser-automation/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/knowledge-management/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/knowledge-management/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/search/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/search/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/ai-ml/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/ai-ml/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/data-engineering/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/data-engineering/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/devops/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/devops/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/infrastructure/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/infrastructure/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/monitoring/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/monitoring/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/testing/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/testing/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/documentation/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/documentation/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/design/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/design/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/automation/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/automation/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/workflow/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/workflow/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/registry/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/registry/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/governance/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/governance/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/enterprise/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/enterprise/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/compliance/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/compliance/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/india/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/india/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/education/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/education/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-servers/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-servers/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-integrations/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-integrations/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-tutorials/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-tutorials/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-security/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-security/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-deployment/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-deployment/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-troubleshooting/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-troubleshooting/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-templates/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-templates/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-examples/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-examples/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-comparisons/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-comparisons/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-clients/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-clients/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-sdk/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-sdk/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-registry/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-registry/","pending","unreviewed","none"
"https://www.mcpserver.in/categories/developer-tools-enterprise/","candidate","navigation","","evaluate","https://www.mcpserver.in/categories/developer-tools-enterprise/","pending","unreviewed","none"
