url,contentFamily,primaryKeyword,primaryEntity,canonicalIntent,publicationState,qualityScore,evidenceComplete,internalLinks,schemaTypes
"https://www.mcpserver.in/what-is-mcp/","pillar","what is mcp","Model Context Protocol","what-is-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/mcp-server/","pillar","what is an mcp server","MCP Server","what-is-an-mcp-server","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/mcp-architecture/","pillar","mcp architecture","MCP Architecture","mcp-architecture","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/mcp-client/","pillar","mcp client","MCP Client","mcp-client","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/mcp-host/","pillar","mcp host","MCP Host","mcp-host","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/mcp-tools/","pillar","mcp tools","MCP Tools","mcp-tools","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/mcp-resources/","pillar","mcp resources","MCP Resources","mcp-resources","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/mcp-prompts/","pillar","mcp prompts","MCP Prompts","mcp-prompts","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/mcp-server-directory/","directory","mcp server directory","MCP Server Directory","mcp-server-directory","publish_approved","92","true","10","CollectionPage|ItemList|BreadcrumbList"
"https://www.mcpserver.in/how-to-build-mcp-server/","pillar","how to build mcp server","How to Build an MCP Server","how-to-build-mcp-server","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/claude-desktop/","client-guide","Claude Desktop MCP","Claude Desktop","claude-desktop-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/claude-code/","client-guide","Claude Code MCP","Claude Code","claude-code-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/chatgpt/","client-guide","ChatGPT MCP","ChatGPT","chatgpt-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/cursor/","client-guide","Cursor MCP","Cursor","cursor-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/vscode/","client-guide","Visual Studio Code MCP","Visual Studio Code","visual-studio-code-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/cline/","client-guide","Cline MCP","Cline","cline-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/continue/","client-guide","Continue MCP","Continue","continue-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/windsurf/","client-guide","Windsurf MCP","Windsurf","windsurf-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/github-copilot/","client-guide","GitHub Copilot MCP","GitHub Copilot","github-copilot-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/clients/open-webui/","client-guide","Open WebUI MCP","Open WebUI","open-webui-mcp","publish_approved","92","true","10","TechArticle|BreadcrumbList"
"https://www.mcpserver.in/integrations/github-mcp-server/","integration-guide","GitHub MCP server","GitHub","github-mcp-server","publish_approved","92","true","10","TechArticle|BreadcrumbList"
